natcode,Incid 1,Incid 2,Incid 3,Incid 4,Incid 5,Incid 6,Incid 7,Incid 8,Incid 9,Incid 10,Incid 11,Incid 12,Incid 13,Incid 14,Incid 15,Incid 16,Incid 17,Incid 18,Incid 19,Incid 20,Incid 21,Incid 22,Incid 23,Incid 24,Incid 25,Incid 26,Incid 27,Incid 28,Incid 29,Incid 30,Incid 31
32884,2.079573598,2.079573598,2.079573598,2.079573598,1.782491655,1.782491655,2.079573598,2.376655541,1.782491655,1.782491655,1.782491655,1.782491655,1.188327771,1.188327771,1.188327771,1.188327771,1.187550069,0.890662552,0.890662552,1.187550069,1.187550069,1.187938793,1.187938793,1.187938793,1.187938793,1.187938793,1.187938793,1.48492349,1.187938793,1.187938793,1.187938793
33015,0.331490045,0.331490045,0.331490045,0.331490045,0.331490045,0.331490045,0.331490045,0.331490045,0.662980089,0.662980089,0.662980089,0.662980089,0.662980089,0.662980089,0.662980089,0.331490045,0.331490045,0.331490045,0.662980089,0.662980089,0.662980089,0.662980089,0.994470134,0.994470134,1.325960179,1.325960179,1.325960179,1.989667221,2.321278424,2.652889628,2.652889628
33122,0,0,0,0,0,0.402345123,0.402345123,0.402345123,0.402345123,0.402345123,0.402345123,0.402345123,0.402345123,0.402345123,0.402345123,0.402345123,0.403239223,0.403239223,0.403239223,0.403239223,0,0.402702287,0.402702287,0,0,0,0,0,0,0,0
179953,0.744288969,0.744288969,0.744288969,0.744288969,0.744288969,0.744288969,0.744288969,0.744288969,0.744288969,0.744288969,0.744288969,0.744288969,0.744288969,0,0,0,0,0,0.743678896,0.743678896,0.743678896,0.743069822,0.743069822,0.743069822,0.743069822,0.743069822,1.486139644,2.231036687,2.974715583,2.974715583,2.974715583
32955,14.19566654,13.57846364,11.72685497,11.10965208,10.49244918,11.10965208,10.49244918,10.49244918,9.258043393,8.640840502,4.937623144,4.937623144,3.086014465,2.468811572,2.468811572,1.851608679,1.851608679,1.851608679,1.851608679,1.851608679,1.234405786,1.8553952,1.8553952,1.236930134,1.236930134,1.236930134,0.618465066,0.619309388,0.619309388,0.619309388,0.619309388
33177,0.456612105,0.456612105,0.456612105,0.456612105,0.456612105,0.456612105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33202,2.042380482,2.042380482,2.199486673,2.199486673,2.513699056,2.670805246,2.670805246,2.670805246,2.199486673,2.199486673,2.042380482,2.199486673,2.042380482,1.57106191,1.728168101,1.413955718,1.257284951,1.257284951,1.257284951,0.942963713,0.785803094,1.257284951,0.942963713,0.785803094,0.628642475,0.471481856,0.471481856,0.471726995,0.628969326,0.628969326,0.628969326
179686,0.267400016,0.267400016,0.267400016,0.267400016,0.267400016,0.267400016,0.267400016,0.267400016,0.267400016,0.267400016,0.267400016,0.267400016,0.267400016,0.267400016,0.267400016,0.267400016,0,0,0,0,0,0,0,0,0,0.267636653,0.267636653,0.267400016,0.534800031,0.534800031,0.534800031
33248,0.794671893,0.794671893,0.794671893,1.021721005,1.021721005,1.021721005,0.908196449,0.794671893,0.908196449,0.908196449,0.908196449,0.681147337,0.681147337,0.567622781,0.681147337,0.454098225,0.567409789,0.567409789,0.340445874,0.340445874,0.340445874,0.340233095,0.340233095,0.340233095,0.453644126,0.453644126,0.340233095,0.340275629,0.453700839,0.453700839,0.453700839
33275,1.800889744,1.800889744,1.440711795,2.161067692,2.161067692,2.161067692,1.080533846,1.080533846,1.080533846,1.080533846,1.080533846,1.080533846,1.080533846,1.080533846,1.080533846,1.080533846,1.080105062,1.440140083,0.720070042,0.720070042,0.720070042,0.720355897,0.720355897,0.720355897,1.440711795,1.440711795,1.440711795,1.440711795,2.161067692,2.161067692,2.161067692
33337,0,0,0,0,0,0,0,0,0,0,0,0.372602978,0.372602978,0.372602978,0.372602978,0.372602978,0.372756061,0.372756061,0.372756061,0.372756061,0.372756061,0.372756061,0.372756061,0.372756061,0.372756061,0.372756061,0.372756061,0.373216065,0,0,0
33364,0.267715625,0.267715625,0.535431249,0.535431249,0.535431249,0.535431249,0.535431249,0.535431249,0.535431249,0.535431249,0.267715625,0.267715625,0.267715625,0.267715625,0.535431249,0.535431249,0.803146875,1.0708625,1.0708625,1.0708625,1.0708625,1.070230908,1.070230908,1.070230908,1.605346363,1.87290409,2.140461817,2.674788481,2.674788481,2.942267329,3.209746177
33382,0,0.168672291,0.168672291,0.168672291,0.168672291,0.168672291,0.168672291,0.506016873,0.674689163,0.674689163,0.674689163,0.674689163,0.674689163,0.674689163,0.674689163,0.843361455,0.674438396,1.011657594,1.011657594,1.011657594,1.011657594,1.012598497,1.012598497,1.012598497,1.350131328,1.012598497,1.181364912,1.180047894,1.517204436,1.517204436,1.517204436
33435,0.73156608,0.438939649,0.438939649,0.585252864,0.585252864,0.73156608,0.877879296,0.877879296,0.877879296,0.877879296,0.877879296,1.024192512,1.024192512,1.024192512,1.170505729,1.170505729,1.171072285,1.317456321,1.171072285,1.171072285,1.02468825,1.170316998,1.170316998,1.024027374,0.877737748,0.731448124,0.877737748,1.170505729,1.024192512,1.170505729,1.170505729
33514,0.309021884,0.309021884,0.309021884,0.309021884,0.309021884,0.309021884,0.309021884,0.309021884,0.309021884,0.309021884,0.309021884,0.309021884,0.309021884,0.309021884,0.618043769,0.309021884,0.309337965,0.618675931,0.618675931,0.618675931,0.618675931,0.618465066,0.618465066,0.618465066,0.618465066,0.618465066,0.618465066,0.619098091,0.619098091,0.619098091,0.619098091
33541,0.691794321,0.691794321,0.518845742,0.864742902,1.037691482,1.037691482,1.210640063,1.383588643,1.383588643,1.729485803,1.729485803,1.556537224,1.556537224,1.556537224,1.729485803,1.556537224,1.557427861,2.249618021,2.249618021,2.422665561,2.595713101,2.249618021,2.422665561,2.595713101,2.422665561,2.941808182,2.941808182,2.76928883,2.596208278,2.423127726,2.76928883
33603,0.275186003,0.275186003,0.275186003,0.275186003,0.275186003,0.275186003,0.275186003,0.275186003,0.275186003,0.275186003,0.275186003,0.275186003,0.275186003,0.275186003,0.275186003,0,0,0,0,0,0,0,0,0,0.274935834,0.274935834,0.274935834,0.274852545,0.549705091,0.549705091,0.549705091
33729,0.86408405,0.86408405,0.86408405,1.296126076,1.728168101,2.160210126,2.592252151,2.592252151,2.592252151,2.160210126,2.160210126,2.592252151,2.592252151,2.592252151,2.592252151,2.160210126,3.024294176,3.024294176,2.592252151,2.160210126,1.728168101,2.594723316,2.594723316,2.16226943,1.729815544,1.729815544,1.729815544,1.297980333,1.297980333,1.730640444,1.730640444
33621,0.110001,0.110001,0.110001,0.220002001,0.220002001,0.220002001,0.220002001,0.220002001,0.220002001,0.110001,0.110001,0.220002001,0.220002001,0.220002001,0.220002001,0.220002001,0.22005536,0.440110722,0.330083042,0.330083042,0.330083042,0.330043017,0.330043017,0.330043017,0.330043017,0.330043017,0.330043017,0.330043017,0.220028678,0.220028678,0.220028678
