countyId,PCR 1,PCR 2,PCR 3,PCR 4,PCR 5,PCR 6,PCR 7,PCR 8,PCR 9,PCR 10,PCR 11,PCR 12,PCR 13,PCR 14,PCR 15,PCR 16,PCR 17,PCR 18,PCR 19,PCR 20,PCR 21,PCR 22,PCR 23,PCR 24,PCR 25,PCR 26,PCR 27,PCR 28,PCR 29,PCR 30,PCR 31,Deces 1,Deces 2,Deces 3,Deces 4,Deces 5,Deces 6,Deces 7,Deces 8,Deces 9,Deces 10,Deces 11,Deces 12,Deces 13,Deces 14,Deces 15,Deces 16,Deces 17,Deces 18,Deces 19,Deces 20,Deces 21,Deces 22,Deces 23,Deces 24,Deces 25,Deces 26,Deces 27,Deces 28,Deces 29,Deces 30,Deces 31,ATI 1,ATI 2,ATI 3,ATI 4,ATI 5,ATI 6,ATI 7,ATI 8,ATI 9,ATI 10,ATI 11,ATI 12,ATI 13,ATI 14,ATI 15,ATI 16,ATI 17,ATI 18,ATI 19,ATI 20,ATI 21,ATI 22,ATI 23,ATI 24,ATI 25,ATI 26,ATI 27,ATI 28,ATI 29,ATI 30,ATI 31,Doze 1,Doze 2,Doze 3,Doze 4,Doze 5,Doze 6,Doze 7,Doze 8,Doze 9,Doze 10,Doze 11,Doze 12,Doze 13,Doze 14,Doze 15,Doze 16,Doze 17,Doze 18,Doze 19,Doze 20,Doze 21,Doze 22,Doze 23,Doze 24,Doze 25,Doze 26,Doze 27,Doze 28,Doze 29,Doze 30,Doze 31
28,594,543,419,484,476,156,55,682,523,457,521,527,159,71,582,592,399,553,691,172,55,448,663,504,635,426,235,63,637,522,471,5,0,4,0,0,1,8,0,2,6,1,0,1,3,3,4,3,3,3,3,5,5,14,5,4,8,4,0,12,4,4,18,18,18,18,18,18,18,18,28,28,29,32,32,33,34,34,34,33,31,29,33,32,32,32,33,32,34,33,33,32,33,441,438,436,550,607,651,569,542,580,670,662,696,622,673,656,721,590,543,529,549,495,558,559,557,533,475,566,471,503,518,508
29,118,236,207,391,182,287,53,204,100,148,265,180,154,33,103,162,152,183,193,202,51,106,138,160,131,106,156,46,281,386,154,0,3,1,0,1,0,0,0,2,3,1,1,1,3,1,0,3,0,1,0,0,0,4,2,5,4,0,3,0,1,6,9,9,9,9,9,9,9,9,11,12,11,14,13,14,15,14,16,14,15,15,15,16,16,15,17,16,13,13,17,18,16,1089,1097,1050,1327,1425,1090,1032,1126,1268,1278,1614,1404,1335,1371,1364,1506,1513,1120,939,1069,972,1219,1203,1181,1147,1065,1068,1122,1081,1246,1332
30,930,1082,1163,1292,1048,529,236,735,774,1284,1181,884,657,335,983,1068,1449,1267,975,778,406,827,1039,1261,1152,1177,711,344,980,1043,1595,5,0,3,1,0,0,0,4,0,3,5,0,0,5,10,1,2,4,7,0,0,9,0,3,0,0,1,5,6,0,5,13,13,13,13,13,13,13,13,15,15,15,15,15,15,15,13,13,14,15,15,15,15,15,14,14,15,15,15,15,14,15,639,697,610,737,907,709,693,612,861,680,833,760,870,767,895,1091,1001,887,876,837,824,950,960,850,888,913,808,801,728,927,747
31,358,399,313,448,316,165,140,360,426,415,327,324,212,109,364,370,269,555,292,216,93,346,357,586,455,353,125,136,469,346,400,0,1,3,2,0,3,2,0,1,0,0,0,0,0,0,1,1,1,0,0,5,0,3,4,0,1,0,1,0,0,0,13,13,13,13,13,13,13,13,17,17,17,14,15,16,16,18,18,17,17,17,17,16,16,18,17,18,18,18,17,19,16,665,666,683,815,763,731,656,694,759,795,838,874,742,675,867,1047,913,895,1028,871,745,801,850,862,848,826,738,706,806,862,808
32,460,599,501,572,585,387,319,721,635,775,500,611,619,96,981,808,587,713,583,381,590,671,240,987,864,597,499,608,1049,553,579,0,2,2,1,0,0,0,0,1,0,4,0,1,1,1,1,2,2,0,1,2,4,1,4,1,1,1,5,5,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1726,1710,1680,2129,2354,2089,2018,1826,1868,2006,2034,2166,1745,1753,2214,2462,2510,2059,1777,1517,1417,1849,1978,1945,1955,1988,1720,1597,1643,2056,2030
33,196,280,247,294,339,164,57,207,304,310,370,327,184,83,188,283,258,243,269,231,52,192,231,264,340,291,170,50,193,271,270,4,4,7,6,5,1,3,3,9,3,8,4,6,5,2,3,8,9,2,7,1,6,6,5,0,10,4,6,1,5,3,35,35,35,35,35,35,35,34,44,49,47,47,47,53,57,56,56,56,58,62,60,60,55,61,66,67,70,70,70,70,71,396,382,373,468,534,580,534,602,533,565,538,633,503,519,687,666,584,644,558,454,478,544,520,524,550,538,568,490,598,490,468
34,199,250,242,183,163,141,84,278,233,243,256,248,161,130,238,274,233,237,170,139,93,330,224,245,257,190,192,115,251,230,268,0,1,1,2,2,3,0,1,1,0,3,3,1,1,1,1,2,4,2,2,1,1,2,2,3,4,4,4,4,0,2,10,10,10,10,10,10,10,10,13,13,12,11,12,11,11,12,12,11,11,11,12,12,12,12,12,12,12,12,12,12,12,606,612,583,710,769,658,653,705,899,604,584,660,588,530,888,898,842,878,779,602,575,771,806,890,1011,949,721,704,898,1073,883
35,5391,6005,6328,6110,5733,3356,2109,6215,6485,7885,6131,6284,3884,2256,6876,6727,6279,6777,6655,4406,2529,6889,6510,6692,6235,6032,3886,2742,7936,7439,6916,0,10,2,4,5,3,3,5,4,10,6,3,4,6,6,10,6,10,10,7,4,7,8,7,14,9,7,11,3,2,5,20,20,20,20,20,20,20,20,34,30,31,33,33,33,32,35,35,31,30,29,31,30,25,22,20,25,27,29,26,28,29,837,820,790,878,773,1000,919,899,915,1118,1034,895,914,807,1000,1179,843,764,856,813,791,772,1572,1455,1449,1377,1425,1361,1636,1539,1621
36,218,557,478,463,746,202,150,259,527,616,668,496,335,100,285,462,644,504,793,278,109,281,654,639,672,527,185,135,351,534,717,1,2,1,1,0,0,0,0,3,0,0,2,0,0,0,1,4,0,1,0,0,1,2,2,0,1,0,0,0,0,2,26,26,26,26,26,26,26,26,37,36,32,35,36,39,36,41,42,45,43,45,46,45,42,41,40,43,45,46,45,46,45,998,1000,979,948,1019,1182,1074,1104,1097,1126,1183,1072,1191,1086,1537,1630,1422,1383,1379,1346,1326,1562,1392,1468,1397,1296,1273,1218,1248,1363,1505
37,323,672,827,430,621,163,62,365,531,320,690,953,266,111,349,855,489,645,564,241,78,413,646,528,656,629,254,49,458,883,501,1,0,0,7,0,1,0,1,3,0,2,3,0,0,3,2,0,14,0,0,1,8,5,2,0,0,2,1,10,1,0,11,11,11,11,11,11,11,11,8,8,11,10,9,10,10,11,11,11,12,13,13,9,11,12,13,12,11,10,12,14,12,557,535,539,663,688,767,727,673,688,747,693,669,711,712,737,834,735,681,774,654,613,696,717,706,750,685,656,682,648,674,612
38,218,466,438,323,326,456,50,267,324,518,265,313,490,41,196,472,510,368,308,293,43,356,373,314,414,380,224,54,370,409,476,3,0,1,1,1,0,3,3,0,2,0,0,0,1,1,2,1,0,4,1,0,0,3,2,1,1,2,1,2,5,3,17,17,17,17,17,17,17,17,17,19,20,20,20,17,18,20,21,20,19,19,22,22,22,19,22,22,22,22,18,17,19,1349,1301,1259,1411,1598,1591,1451,1646,1625,1649,1609,1612,1389,1318,2518,2492,2168,2368,2372,2302,2272,2491,3777,4173,3466,3424,3367,3374,3632,3437,3323
39,286,414,581,526,553,454,134,246,454,526,583,654,341,180,262,612,522,480,568,387,314,358,463,461,577,527,412,176,774,766,754,6,2,2,0,2,0,0,6,5,0,8,3,0,4,6,0,3,0,9,1,0,12,6,2,4,2,0,14,9,3,4,25,25,25,25,25,25,25,25,27,27,27,28,26,28,28,28,28,27,30,30,30,28,28,28,28,28,28,28,28,28,26,241,214,318,344,335,354,321,293,394,385,432,460,414,388,594,636,486,468,476,442,472,416,377,390,405,381,415,377,445,450,441
40,114,277,260,252,177,267,0,154,327,238,205,234,289,0,150,276,188,209,170,245,2,119,298,203,238,196,225,0,149,273,154,0,3,1,2,1,1,2,1,1,0,2,4,0,3,1,0,1,0,1,1,1,2,2,2,4,2,3,0,3,5,2,26,26,26,26,26,26,26,26,32,32,35,35,37,37,37,37,37,39,41,41,40,42,41,40,41,40,42,42,40,41,41,533,563,561,687,727,732,748,647,703,790,801,830,738,821,738,859,748,717,815,671,610,650,1046,1047,1075,929,957,1073,1008,959,1044
51,343,281,259,263,208,120,18,232,291,336,269,246,131,19,286,319,180,255,345,119,28,303,288,340,298,232,141,25,352,397,373,3,3,1,0,0,1,0,1,4,2,0,4,3,0,2,1,2,1,2,4,4,2,3,2,4,5,7,1,2,6,2,10,10,10,10,10,10,10,10,10,10,11,10,9,10,11,10,11,13,10,8,12,12,11,11,10,10,12,12,16,16,15,596,583,550,597,636,754,684,690,530,546,534,643,670,710,748,759,709,801,767,667,689,674,736,631,653,632,604,632,743,639,645
52,392,292,256,346,267,176,1,323,297,293,275,263,199,1,425,306,252,295,273,169,2,308,323,284,245,206,173,4,336,328,301,4,1,2,1,3,2,2,1,4,4,5,2,1,4,5,2,1,5,2,0,3,5,3,1,5,2,2,1,6,2,2,3,3,3,3,3,3,3,3,8,7,8,6,7,7,9,9,9,9,9,9,9,11,11,10,10,7,8,9,10,10,10,459,504,539,584,654,649,726,608,606,508,567,871,707,628,1235,866,899,825,942,748,793,1137,849,784,808,834,907,962,863,872,852
